order_id,overdue_days,label,chinese_zodiac,zodiac
1,0,0,狗,巨蟹座
2,1,0,蛇,摩羯座
3,0,0,马,处女座
4,0,0,猴,狮子座
5,0,0,兔,处女座
6,17,1,牛,射手座
7,0,0,虎,双子座
8,0,0,蛇,水瓶座
9,0,0,狗,巨蟹座
10,2,0,猪,白羊座
11,0,0,狗,水瓶座
12,0,0,猪,白羊座
13,0,0,羊,处女座
14,17,1,羊,双鱼座
15,0,0,龙,射手座
16,17,1,狗,摩羯座
17,1,0,猴,处女座
18,0,0,鼠,金牛座
19,0,0,兔,射手座
20,0,0,猴,狮子座
21,0,0,鼠,天秤座
22,0,0,羊,金牛座
23,0,0,龙,巨蟹座
24,17,1,蛇,双鱼座
25,1,0,鼠,天蝎座
26,1,0,猴,双子座
27,0,0,羊,射手座
28,1,0,马,水瓶座
29,17,1,鼠,双子座
30,0,0,牛,金牛座
31,0,0,猪,处女座
32,0,0,牛,处女座
33,1,0,狗,金牛座
34,1,0,羊,水瓶座
35,0,0,马,狮子座
36,0,0,牛,水瓶座
37,0,0,鸡,狮子座
38,0,0,鼠,双鱼座
39,4,2,狗,双子座
40,0,0,猪,处女座
41,0,0,蛇,巨蟹座
42,6,2,鸡,双鱼座
43,0,0,兔,射手座
44,0,0,羊,水瓶座
45,0,0,鸡,天秤座
46,17,1,马,天蝎座
47,0,0,马,狮子座
48,0,0,鸡,射手座
49,17,1,牛,白羊座
50,0,0,马,白羊座
51,1,0,鼠,摩羯座
52,0,0,虎,白羊座
53,0,0,兔,摩羯座
54,0,0,猪,金牛座
55,17,1,猪,双子座
56,0,0,猪,天蝎座
57,0,0,鸡,射手座
58,0,0,兔,金牛座
59,17,1,龙,摩羯座
60,0,0,牛,处女座
61,0,0,鸡,狮子座
62,0,0,马,双鱼座
63,0,0,羊,白羊座
64,0,0,牛,双鱼座
65,0,0,兔,金牛座
66,0,0,猪,双鱼座
67,0,0,羊,天蝎座
68,1,0,猪,双子座
69,1,0,猴,双子座
70,0,0,猪,天蝎座
71,1,0,虎,狮子座
72,0,0,猪,天蝎座
73,0,0,鸡,天蝎座
74,0,0,猴,白羊座
75,17,1,鸡,双子座
76,1,0,虎,天蝎座
77,17,1,龙,水瓶座
78,17,1,鼠,射手座
79,0,0,兔,摩羯座
80,0,0,龙,白羊座
81,0,0,蛇,双子座
82,1,0,鸡,双子座
83,0,0,牛,白羊座
84,17,1,猪,双鱼座
85,1,0,马,天蝎座
86,0,0,猪,狮子座
87,0,0,牛,摩羯座
88,1,0,蛇,双子座
89,17,1,羊,处女座
90,1,0,羊,白羊座
91,0,0,马,天秤座
92,0,0,牛,处女座
93,17,1,蛇,双鱼座
94,0,0,猪,射手座
95,0,0,龙,双子座
96,0,0,兔,水瓶座
97,0,0,猪,天秤座
98,0,0,虎,白羊座
99,0,0,虎,双鱼座
100,0,0,羊,处女座
101,1,0,虎,摩羯座
102,0,0,鸡,天秤座
103,1,0,龙,双鱼座
104,1,0,猪,狮子座
105,0,0,龙,天秤座
106,0,0,狗,摩羯座
107,0,0,马,双子座
108,0,0,蛇,金牛座
109,0,0,猴,水瓶座
110,0,0,蛇,摩羯座
111,17,1,牛,射手座
112,0,0,虎,处女座
113,0,0,龙,巨蟹座
114,0,0,虎,射手座
115,0,0,虎,狮子座
116,0,0,马,白羊座
117,0,0,羊,狮子座
118,1,0,狗,双鱼座
119,1,0,狗,白羊座
120,1,0,兔,双鱼座
121,1,0,虎,金牛座
122,0,0,虎,狮子座
123,17,1,兔,摩羯座
124,0,0,猴,射手座
125,0,0,猪,天蝎座
126,0,0,鸡,水瓶座
127,1,0,蛇,天蝎座
128,0,0,龙,双鱼座
129,0,0,兔,处女座
130,1,0,虎,金牛座
131,0,0,狗,金牛座
132,1,0,虎,摩羯座
133,0,0,猪,狮子座
134,0,0,羊,狮子座
135,0,0,兔,双子座
136,1,0,鸡,天蝎座
137,0,0,龙,摩羯座
138,17,1,狗,水瓶座
139,1,0,马,狮子座
140,1,0,虎,白羊座
141,0,0,猪,摩羯座
142,16,1,鼠,天蝎座
143,0,0,猴,天蝎座
144,16,1,虎,金牛座
145,0,0,鸡,射手座
146,0,0,牛,金牛座
147,1,0,猪,天蝎座
148,0,0,龙,金牛座
149,0,0,猴,双鱼座
150,16,1,兔,双子座
151,0,0,羊,天蝎座
152,0,0,蛇,摩羯座
153,0,0,虎,双子座
154,0,0,蛇,金牛座
155,1,0,马,天秤座
156,0,0,鼠,射手座
157,0,0,羊,天蝎座
158,0,0,羊,巨蟹座
159,16,1,狗,双子座
160,16,1,牛,巨蟹座
161,16,1,鼠,白羊座
162,16,1,蛇,天蝎座
163,0,0,鸡,金牛座
164,0,0,猴,白羊座
165,0,0,猴,处女座
166,0,0,蛇,白羊座
167,1,0,鼠,摩羯座
168,0,0,虎,金牛座
169,1,0,鼠,双鱼座
170,1,0,马,白羊座
171,0,0,鼠,白羊座
172,16,1,羊,水瓶座
173,3,0,兔,双子座
174,1,0,鸡,双子座
175,0,0,兔,天秤座
176,16,1,蛇,天秤座
177,0,0,龙,金牛座
178,0,0,牛,巨蟹座
179,0,0,羊,处女座
180,0,0,猪,狮子座
181,1,0,鼠,摩羯座
182,16,1,鸡,金牛座
183,0,0,鸡,天秤座
184,16,1,猴,双鱼座
185,0,0,狗,天蝎座
186,16,1,牛,水瓶座
187,0,0,狗,摩羯座
188,0,0,马,处女座
189,0,0,兔,狮子座
190,0,0,牛,射手座
191,0,0,马,摩羯座
192,1,0,鸡,处女座
193,16,1,兔,射手座
194,0,0,蛇,白羊座
195,1,0,狗,白羊座
196,0,0,鼠,水瓶座
197,0,0,鼠,处女座
198,0,0,龙,双鱼座
199,0,0,牛,双鱼座
200,0,0,狗,双鱼座
201,0,0,鸡,双子座
202,1,0,羊,天秤座
203,1,0,猪,双子座
204,16,1,牛,天蝎座
205,0,0,鼠,射手座
206,16,1,马,狮子座
207,16,1,兔,处女座
208,0,0,狗,摩羯座
209,0,0,龙,白羊座
210,3,0,虎,白羊座
211,0,0,猴,射手座
212,0,0,猴,天秤座
213,1,0,羊,天秤座
214,0,0,虎,巨蟹座
215,16,1,兔,白羊座
216,16,1,猪,射手座
217,0,0,蛇,天秤座
218,0,0,鼠,射手座
219,0,0,牛,水瓶座
220,0,0,蛇,天蝎座
221,0,0,龙,双鱼座
222,0,0,兔,摩羯座
223,16,1,蛇,天秤座
224,16,1,鼠,射手座
225,16,1,马,双子座
226,1,0,马,双鱼座
227,0,0,鸡,摩羯座
228,0,0,兔,天蝎座
229,0,0,牛,天秤座
230,16,1,马,水瓶座
231,16,1,猴,双鱼座
232,0,0,龙,双鱼座
233,16,1,羊,射手座
234,16,1,鸡,巨蟹座
235,1,0,鼠,双子座
236,0,0,蛇,处女座
237,0,0,牛,水瓶座
238,0,0,牛,白羊座
239,0,0,虎,射手座
240,0,0,猴,射手座
241,0,0,兔,天蝎座
242,0,0,狗,天秤座
243,16,1,鸡,双鱼座
244,0,0,龙,狮子座
245,0,0,虎,水瓶座
246,0,0,鼠,射手座
247,0,0,兔,白羊座
248,16,1,蛇,水瓶座
249,0,0,猪,射手座
250,16,1,马,巨蟹座
251,0,0,马,摩羯座
252,0,0,狗,摩羯座
253,0,0,狗,摩羯座
254,0,0,狗,狮子座
255,1,0,猪,处女座
256,1,0,虎,摩羯座
