brw_ord_no,pkg_amt,loan_amt,dep_prov_no,dep_city_no,pkg_typ,in_come,usr_job,schooling,marital_sta,gender,age,target
50620220930153845061103743,158,1502,09,210,01,004,,003,1,男,58,good
50620220930100005060654589,0,1660,22,818,01,007,021,001,1,女,52,good
50620220908095616989579615,269,1600,31,230,01,002,006,006,1,女,48,good
50620220929213400059508940,199,1209,31,230,01,002,006,005,1,男,37,good
50620220901091820954649662,269,1600,31,230,01,003,007,006,1,男,36,good
50620220918153603029383576,158,1502,09,210,01,004,009,003,1,男,41,good
50620220917143004023881419,158,1469,09,210,01,004,001,003,1,男,45,good
50620220928104558057094820,99,2010,22,838,01,002,008,005,1,女,59,good
50620220911121326002068464,99,560,27,934,01,005,,006,0,男,34,good
50620220924193616047812871,0,950,22,816,01,003,006,006,1,女,57,good
50620220927173522055567931,119,2420,22,812,01,004,006,004,1,男,30,bad
50620220926114741052609750,88,507,09,210,01,007,009,004,0,男,37,good
50620220927203939055700859,148,780,17,715,01,002,006,006,1,女,34,good
50620220914121153013032597,0,950,22,830,01,002,015,006,1,女,42,good
50620220927123556055431712,141,1150,22,833,01,002,004,006,1,男,37,good
50620220910153630999011239,139,1200,22,826,01,003,008,005,1,女,29,good
50620220912134822006396793,228,1326,09,210,01,003,009,004,1,男,42,good
50620220920113554035384414,118,1092,09,210,01,003,,006,1,男,32,good
50620220916153347019659938,169,1639,31,230,01,002,007,004,1,男,37,good
50620220924152739047614437,158,917,09,210,01,004,007,003,1,男,45,good
50620220925103204050057332,110,970,22,834,01,001,,006,1,女,30,good
50620220914095952012346579,0,750,22,834,01,003,001,005,1,女,41,good
50620220921110045038191483,79,1600,22,813,01,005,009,003,1,男,42,good
50620220914121607013033045,0,750,22,834,01,007,,006,1,男,48,good
50620220929175119059362572,0,1200,22,280,01,002,006,005,1,男,50,good
50620220904183609966366825,166,1460,22,829,01,004,001,004,1,男,38,good
50620220926141619052760038,198,1130,17,715,01,003,,005,1,男,30,good
50620220928172604057511165,0,1200,22,280,01,003,003,004,1,男,32,good
50620220926192252053215017,0,1200,22,829,01,003,003,006,1,女,37,good
50620220919113135032007757,0,1200,22,830,01,002,001,005,1,男,50,good
50620220919184050032651554,0,950,22,834,01,002,001,006,1,女,51,good
50620220920105611035219797,0,750,22,834,01,003,001,006,1,男,29,good
50620220927161818055541339,58,329,09,210,01,003,,004,1,男,55,good
50620220924091127046526067,0,950,22,830,01,001,,006,1,女,29,good
50620220909153121994490800,0,950,22,834,01,003,006,004,1,女,35,good
50620220922114516041454550,119,2420,22,838,01,003,021,004,1,男,41,good
50620220918095025027832775,288,1664,09,210,01,003,003,003,1,男,43,good
50620220930084907060470358,158,1502,09,210,01,003,003,006,1,女,45,good
50620220910165138999065934,0,750,22,839,01,001,001,001,1,女,49,good
50620220915161244016452973,0,1660,22,816,01,005,001,004,0,男,25,good
50620220928133324057278981,99,2010,22,838,01,005,006,004,1,女,53,good
50620220927150653055525539,0,2150,22,829,01,003,021,006,1,男,25,bad
50620220929164121059291376,139,1200,22,812,01,003,001,004,1,男,36,good
50620220906101718970919166,118,1092,09,210,01,003,,004,1,男,48,good
50620220921110251038215236,188,1077,09,210,01,003,,006,1,女,44,good
50620220904155651966234907,0,2400,22,839,01,004,012,006,1,男,59,good
50620220917083101020579679,288,1678,09,210,01,006,003,005,1,男,50,good
50620220912163941006557265,159,940,12,558,01,003,003,004,1,男,50,good
50620220920175714035848487,269,1600,31,230,01,003,006,006,1,男,37,good
50620220928090638056866845,128,1240,17,716,01,003,003,006,1,男,59,good
50620220930170856061166170,119,2420,22,826,01,006,006,004,1,男,34,good
50620220909172640994581960,0,1460,22,834,01,007,001,004,1,男,29,good
50620220913104627009230969,269,1600,31,230,01,005,006,003,1,女,36,good
50620220929110200059034810,0,1200,22,840,01,004,021,006,1,女,56,good
50620220920150451035656812,99,580,17,717,01,003,008,006,1,男,37,good
50620220913094037008925143,188,1092,09,210,01,004,006,004,1,男,55,good
50620220908095045989579117,139,1200,22,827,01,003,006,004,1,男,52,good
50620220915104434015928319,158,1502,09,210,01,004,,004,1,男,57,good
50620220925165734050469635,96,650,22,818,01,003,006,004,1,女,59,good
50620220923170919044714767,119,2420,22,838,01,003,006,004,1,男,30,good
50620220911132252002104199,139,1200,22,816,01,004,006,004,1,男,36,good
50620220928144828057380264,128,741,09,210,01,003,008,006,1,男,59,good
50620220920193624035921106,0,2150,22,834,01,002,002,006,1,女,38,good
50620220912183515006656938,0,1660,22,834,01,003,021,004,1,男,43,good
50620220918183033029514754,0,1200,22,834,01,004,001,004,1,女,28,good
50620220906155659971555500,79,760,31,230,01,002,003,006,1,女,37,good
50620220911150503002206496,188,1092,09,210,01,004,,003,1,男,39,good
50620220926191222053198997,79,1600,22,816,01,007,006,003,1,女,41,bad
50620220915101057015764928,0,1200,22,839,01,003,001,006,1,女,34,good
50620220926104605052403122,88,507,09,210,01,003,006,004,1,男,59,good
50620220909175826994614403,199,1209,31,230,01,004,003,004,1,男,44,good
50620220917184951026021445,158,917,09,210,01,007,003,002,1,男,37,good
50620220902194231957584790,141,1150,22,833,01,003,006,004,1,女,39,good
50620220914175904013312825,0,1460,22,834,01,003,002,006,1,女,28,good
50620220918125412028994483,90,770,22,834,01,006,008,004,1,男,37,good
50620220926163654053025970,0,1200,22,834,01,003,001,004,1,男,36,good
50620220927095637055140415,188,1092,09,210,01,003,007,004,1,男,42,good
50620220929190058059409858,0,1460,22,280,01,003,003,004,1,男,30,good
50620220905142033968953321,0,1460,22,834,01,004,001,003,1,男,48,good
50620220929133227059102520,0,1200,22,280,01,003,003,004,1,女,51,good
50620220912091259004204549,0,950,22,830,01,003,007,003,1,男,51,good
50620220921123542038596898,79,1600,22,838,01,003,009,006,1,男,42,good
50620220914145340013152358,0,1200,22,831,01,002,001,006,1,女,47,good
50620220919170138032579018,288,1678,09,210,01,003,007,005,0,男,32,good
50620220926151408052917899,72,1404,31,230,01,006,006,004,1,男,43,good
50620220901145926955152790,148,1440,17,712,01,004,003,004,1,男,60,good
50620220920153616035718945,225,1480,22,818,01,005,008,005,1,女,57,good
50620220907092452975358221,209,1810,22,826,01,005,001,003,1,女,41,good
50620220901190246955303134,0,950,22,834,01,003,006,004,0,男,25,good
50620220911200332002416343,139,1200,22,835,01,003,006,005,1,男,29,good
50620220909113656994318967,98,780,31,230,01,002,,005,1,女,37,good
50620220925142506050305593,188,1092,09,210,01,003,003,004,1,男,57,good
50620220905132646968927825,199,1209,31,230,01,004,003,002,1,女,33,good
50620220929155040059264580,0,950,22,834,01,001,,006,1,女,46,good
50620220923150045044577226,90,770,22,830,01,003,006,004,1,女,37,good
50620220905124149968923635,0,950,22,834,01,002,001,006,1,女,58,good
50620220926120034052648909,0,750,22,834,01,005,001,006,1,男,30,good
50620220917105625021821932,199,1209,31,230,01,003,021,004,1,女,59,good
50620220928131727057277665,269,1600,31,230,01,003,005,005,1,男,38,good
50620220927092041055091686,96,650,22,818,01,004,003,003,1,女,51,bad
50620220929183047059389908,0,1200,22,830,01,003,021,006,1,女,43,good
50620220916180853019799498,99,1250,22,826,01,002,008,004,1,女,35,good
50620220930172301061181790,0,1200,22,830,01,003,001,006,1,男,41,good
